Дата выгрузки,Тикер,Период,Средняя цена закрытия,Максимальная цена закрытия,Минимальная цена закрытия,Колебания цены
2024-10-11 12:56:51.521861,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 13:08:23.101984,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 13:10:22.409983,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 13:17:32.929276,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 13:24:22.365144,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 13:26:49.388769,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 14:00:32.846514,AAPL,1mo,225.4009087302468,233.0,216.32000732421875,0.0740014437818588
2024-10-11 16:51:29.758206,GOOGL,1mo,161.89913144318953,167.05999755859375,151.16000366210938,0.0982092600173317
2024-10-11 16:58:20.510282,MSFT,1mo,425.1921731700068,438.6900024414063,409.5400085449219,0.0685572212657573
2024-10-11 17:11:16.727400,AAPL,5mo,,,,
2024-10-11 17:11:57.171429,AAPL,1mo,225.5323778235394,233.0,216.32000732421875,0.0739583062828875
2024-10-11 17:43:36.033569,AAPL,1mo,225.5567388119905,233.0,216.32000732421875,0.0739503185036054
2024-10-11 17:54:00.881790,AAPL,1mo,225.5191298775051,233.0,216.32000732421875,0.0739626509061173
2024-10-15 22:16:33.118287,AAPL,1mo,226.5018178766424,233.3000030517578,216.32000732421875,0.0749662668790884
2024-10-17 12:42:28.125534,AAPL,1mo,227.2295448996804,233.8500061035156,216.7899932861328,0.0750783214608586
2024-10-17 15:42:01.054176,TSLA,1mo,241.61954567649147,261.6300048828125,217.8000030517578,0.1814008949828066
2024-10-17 21:08:42.228913,MSFT,1mo,423.4384765625,438.6900024414063,409.5400085449219,0.0688411552325755
2024-10-17 21:13:16.386143,AMZN,1mo,187.52304408861244,193.9600067138672,180.8000030517578,0.0701780611874598
2024-10-17 21:15:20.893920,GOOGL,2024-09-11,160.3135724748884,165.85000610351562,151.16000366210938,0.09163293047884202
